Name,Ticker,Min Investment,Price Per Token,Stage,Token Type,Investor Type,Description
12866 Lauder St Detroit,RealT,$54,$54.25,Trading,Equity,International Non-US,TBA
"XY Labs, Inc.",XYLB,-,$8,Trading,Equity,Non-Accredited Retail,"Founded in 2012, XY Labs is a Delaware corporation that develops data-focused products in a variety of industries. XY Labs has built a global “data-economy” which is secure, trusted, and seamlessly in..."
9795-9797 Chenlot St,RealT,$53,$53.21,Trading,Equity,International Non-US,TBA
Ondo US Dollar Yield,USDY,-,$,Trading,Other,International Non-US,USDY is a tokenized note secured by short-term US Treasuries and bank demand deposits. USDY is accessible to non-US individual and institutional investors and is transferable onchain 40-50 days after...
1 Holdings Palmetto St,RealT,$51,$50.60,Trading,Equity,International Non-US,TBA
601 Milton St,RealT,$49,$48.71,Trading,Equity,International Non-US,TBA
Rubrik,URIK,$5,$48,Trading,Lp Fund Interest,International Non-US,"Rubrik was founded in 2014 in Palo Alto, California. Its cloud technology allows corporations and governments to securely store, manage and transit data eliminating the risk of disaster, ransomware at..."
12779 Strathmoor St,RealT,$55,$55.23,Trading,Equity,International Non-US,"The duplex located at 12779 Strathmoor St in the Schoolcraft area of Detroit, Michigan, dates back to 1925. This two-unit property boasts an interior space of 1,368 square feet on a 3,920 square foot..."
1389 Bird Ave,RealT,$53,$52.74,Trading,Equity,International Non-US,"The single-family residence at 1389 Bird Ave, situated in the Birmingham suburb of Michigan, was constructed in 2004. This spacious home has an interior of 2,727 square feet and a lot size of 4,792 sq..."
15770 Prest St Detroit,RealT,$56,$56.04,Trading,Equity,International Non-US,TBA
13895 Saratoga St Detroit,RealT,$59,$58.50,Trading,Equity,International Non-US,TBA
19020 Rosemont Ave,RealT,$57,$56.50,Trading,Equity,International Non-US,TBA
1815 S Avers Ave,RealT,$55,$54.95,Trading,Equity,International Non-US,TBA
